code,name,date,mkt_rp,rf,mkt_pf,size_rp,bm_rp,div_rp,pe_rp
Y9999,上市,2005-10,-6.0414,1.89,-5.8839,-0.7127,-3.1517,-1.2871,-1.4585
Y9999,上市,2005-09,1.5479,1.89,1.7054,-1.2785,-2.8244,-1.8963,-2.4823
Y9999,上市,2005-08,-3.6464,1.79,-3.4972,-4.8972,-3.5379,0.6459,-0.128
Y9999,上市,2005-07,2.7001,1.79,2.8493,-0.9116,-6.5188,-0.9593,-2.9384
Y9999,上市,2005-06,4.2721,1.69,4.4129,4.5678,7.264,0.8567,-0.7765
Y9999,上市,2005-05,3.1911,1.69,3.3319,-3.3379,-1.7307,-3.2998,-4.5085
Y9999,上市,2005-04,-3.2452,1.69,-3.1044,-3.5685,-3.1526,-1.1211,-0.6886
Y9999,上市,2005-03,-3.4027,1.69,-3.2619,1.6301,-3.1526,0.6581,3.7526
Y9999,上市,2005-02,3.393,1.595,3.5259,1.7962,-4.8773,-3.9998,0.0583
Y9999,上市,2005-01,-2.5205,1.595,-2.3876,-2.1063,-1.996,2.1647,-1.5508
Y9999,上市,2004-12,4.9255,1.525,5.0526,1.7562,2.096,-3.2135,-1.3567
Y9999,上市,2004-11,2.2898,1.525,2.4169,-2.627,-0.4798,-0.0256,0.4786
Y9999,上市,2004-10,-2.4409,1.525,-2.3138,-2.1795,1.652,2.0334,0.5831
Y9999,上市,2004-09,1.3647,1.4,1.4814,-0.3976,2.7484,0.2828,3.4844
Y9999,上市,2004-08,6.8723,1.4,6.989,-3.0117,-2.7847,-5.5363,-1.1828
Y9999,上市,2004-07,-5.7587,1.4,-5.642,-0.164,2.1994,5.3715,4.0292
Y9999,上市,2004-06,-2.1269,1.4,-2.0102,-5.3098,-4.6666,4.271,3.5715
Y9999,上市,2004-05,-2.607,1.4,-2.4903,-0.2824,2.6185,3.6865,0.956
Y9999,上市,2004-04,-6.2079,1.4,-6.0912,-1.4895,-4.7437,0.3661,1.026
Y9999,上市,2004-03,-3.515,1.4,-3.3983,-1.9575,0.856,3.2923,-0.0274
Y9999,上市,2004-02,5.847,1.4,5.9637,3.6494,10.2172,5.8634,3.3806
Y9999,上市,2004-01,8.2134,1.4,8.3301,5.5268,13.9855,2.3631,4.2897
Y9999,上市,2003-12,1.8705,1.4,1.9872,3.6088,2.7785,-0.1346,-2.0138
Y9999,上市,2003-11,-4.767,1.4,-4.6503,5.1476,-2.7208,0.6011,1.5996
Y9999,上市,2003-10,7.625,1.4,7.7417,0.3891,9.1248,1.907,-1.4888
Y9999,上市,2003-09,-0.7371,1.4,-0.6204,0.5201,-0.5218,-1.2372,1.2823
Y9999,上市,2003-08,6.457,1.4,6.5737,-7.8883,0.0954,-1.206,-3.9793
Y9999,上市,2003-07,10.3092,1.4,10.4259,-4.5138,-2.4747,-0.7225,2.1237
Y9999,上市,2003-06,7.2261,1.525,7.3532,2.7047,8.6344,-2.1313,-2.4385
Y9999,上市,2003-05,10.1237,1.525,10.2508,0.0602,0.3165,-6.3389,-3.2596
Y9999,上市,2003-04,-4.0494,1.55,-3.9202,-3.6957,-10.3226,-1.3548,-4.4247
Y9999,上市,2003-03,-2.3114,1.55,-2.1822,-1.69,-7.4679,1.3475,1.3458
Y9999,上市,2003-02,-11.5149,1.55,-11.3857,0.1872,-8.3096,0.5633,1.2957
Y9999,上市,2003-01,12.7179,1.55,12.8471,3.3111,29.6055,8.5114,2.6095
Y9999,上市,2002-12,-4.9505,1.85,-4.7963,1.7534,11.4682,8.6181,4.357
Y9999,上市,2002-11,1.9406,1.85,2.0948,1.8297,6.7126,3.2645,-0.361
Y9999,上市,2002-10,9.7801,2.1,9.9551,-4.7651,6.8872,0.3826,-3.4129
Y9999,上市,2002-09,-12.3589,2.1,-12.1839,0.381,-7.1335,4.0003,7.8837
Y9999,上市,2002-08,-3.7294,2.1,-3.5544,-1.1241,-9.0873,-5.4886,-0.7781
Y9999,上市,2002-07,-3.5036,2.1,-3.3286,2.1571,-1.9331,-3.3986,5.053
Y9999,上市,2002-06,-9.3385,2.3,-9.1468,2.517,8.3875,11.6066,3.1141
Y9999,上市,2002-05,-6.2894,2.35,-6.0936,-3.8194,-5.0601,4.2761,-0.4581
Y9999,上市,2002-04,-2.1302,2.35,-1.9344,6.5544,18.2553,6.827,7.3738
Y9999,上市,2002-03,9.027,2.3,9.2187,13.9985,28.2017,9.1503,3.33
Y9999,上市,2002-02,-3.4245,2.3,-3.2328,1.3688,-1.7037,1.2477,-0.318
Y9999,上市,2002-01,5.852,2.3,6.0437,7.763,6.1905,4.4909,6.7485
Y9999,上市,2001-12,24.0694,2.45,24.2736,2.3681,1.6218,-1.9831,8.3879
Y9999,上市,2001-11,12.2537,2.45,12.4579,-4.6798,-16.7367,-10.2374,-5.7003
Y9999,上市,2001-10,7.0109,2.8,7.2442,-5.9336,-10.4819,-3.9199,-6.1612
Y9999,上市,2001-09,-19.5899,3.1,-19.3316,2.1835,0.4917,6.4734,0.6125
