code,name,date,close,return,volume_shares,volume_dollar,market_value,pb,ps,dividend_yield,f_net,i_net,d_net,t_net,mkt_rp,rf,mkt_pf,size_rp,bm_rp,div_rp,pe_rp
9955,佳龍,2007-05,48.37,-1.1782,11,740,5047,5.02,2.26,2.25,13.0,0.0,-100.0,-87.0,3.1549,2.26,3.3432,0.8958,-4.6368,0.5916,-1.4475
9955,佳龍,2007-04,48.95,-0.147,23,1617,5108,5.08,2.29,2.22,-115.0,0.0,0.0,-115.0,-0.5143,2.26,-0.326,-0.6403,5.728,5.3142,2.568
9955,佳龍,2007-03,49.02,4.6153,34,2280,5115,5.08,2.29,2.22,0.0,0.0,30.0,30.0,-0.2592,2.23,-0.0734,8.3924,-1.8792,0.616,-1.1535
9955,佳龍,2007-02,46.86,10.1698,16,1042,4889,4.86,2.19,2.32,0.0,-50.0,0.0,-50.0,2.2026,2.23,2.3884,2.5654,-0.9025,0.2079,1.4514
9955,佳龍,2007-01,42.53,4.2406,33,1989,4438,4.41,1.99,2.56,-347.0,0.0,50.0,-297.0,-1.9368,2.23,-1.751,1.0474,-9.7069,-0.4372,-2.8617
9955,佳龍,2006-12,40.8,-2.0759,17,1022,4258,4.23,1.91,2.67,-6.0,-120.0,-67.0,-193.0,3.2341,2.2,3.4174,6.1855,7.1638,0.205,-0.0695
9955,佳龍,2006-11,41.67,15.6001,39,2252,4346,4.54,2.22,2.61,-7.0,0.0,15.0,8.0,7.5925,2.2,7.7758,5.0603,7.3272,-2.2168,-1.5986
9955,佳龍,2006-10,36.04,5.9323,14,692,3456,3.61,1.77,3.02,0.0,40.0,15.0,55.0,1.933,2.2,2.1163,7.4552,3.1266,1.6731,0.8446
9955,佳龍,2006-09,34.02,7.1513,13,621,3263,3.59,1.9,3.2,0.0,0.0,0.0,0.0,4.3117,2.13,4.4892,-1.452,2.8874,-0.5644,-0.4239
9955,佳龍,2006-08,31.75,-7.2631,13,620,3045,3.35,1.77,3.43,111.0,0.0,0.0,111.0,3.3108,2.13,3.4883,-2.1538,-8.1693,-4.0572,-3.4498
9955,佳龍,2006-07,34.24,3.9313,27,1418,3283,3.61,1.91,4.34,-283.0,-100.0,27.0,-356.0,-2.2037,2.13,-2.0262,2.3404,-2.5919,0.9313,1.1001
9955,佳龍,2006-06,32.76,-2.5927,31,1543,3136,3.45,1.82,3.92,0.0,0.0,0.0,0.0,-1.5724,2.06,-1.4007,-4.245,-0.8897,2.0684,2.5018
9955,佳龍,2006-05,33.63,-0.3689,57,3568,3210,4.1,2.33,3.81,-69.0,250.0,7.0,188.0,-4.6313,2.06,-4.4596,4.7305,7.3322,1.9592,-0.6593
9955,佳龍,2006-04,33.75,43.3861,47,2156,3222,4.12,2.34,3.8,10.0,284.0,-154.0,140.0,8.3148,2.06,8.4865,3.223,6.4525,-4.7111,-4.0751
9955,佳龍,2006-03,23.54,12.0001,9,320,2245,2.87,1.63,5.45,0.0,0.0,0.0,0.0,0.8137,1.99,0.9795,2.7484,-3.9963,-0.3114,1.2318
9955,佳龍,2006-02,21.02,-6.5098,7,229,2002,2.56,1.45,6.1,0.0,0.0,0.0,0.0,0.3057,1.99,0.4715,-1.8492,-1.7215,3.0346,2.2718
9955,佳龍,2006-01,22.48,-4.1169,28,1090,2140,2.73,1.55,5.71,0.0,0.0,0.0,0.0,-0.5011,1.99,-0.3353,-2.7892,-1.7744,-0.855,-1.4227
9955,佳龍,2005-12,23.45,16.5633,25,861,2229,2.85,1.62,5.47,0.0,-20.0,115.0,95.0,5.4906,1.99,5.6564,4.3243,1.6196,-4.1203,3.163
9955,佳龍,2005-11,20.12,-0.3085,14,474,1898,2.69,1.47,6.38,0.0,100.0,0.0,100.0,7.5715,1.89,7.729,-0.7009,-0.5281,-3.7756,-2.2749
9955,佳龍,2005-10,20.18,9.8306,17,542,1897,2.69,1.47,6.36,0.0,0.0,0.0,0.0,-6.0414,1.89,-5.8839,-0.7127,-3.1517,-1.2871,-1.4585
9955,佳龍,2005-09,18.37,7.1328,7,213,1695,2.55,1.36,6.98,0.0,0.0,0.0,0.0,1.5479,1.89,1.7054,-1.2785,-2.8244,-1.8963,-2.4823
